,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
61,contextual,4,True,5,9,0.4573093354701996
62,contextual,4,True,10,0,0.4689728617668152
63,contextual,4,True,10,1,0.481553852558136
64,contextual,4,True,10,2,0.4611552953720093
65,contextual,4,True,10,3,0.49195921421051025
66,contextual,4,True,10,4,0.4825415015220642
67,contextual,4,True,10,5,0.4952586591243744
68,contextual,4,True,10,6,0.478781133890152
69,contextual,4,True,10,7,0.463506817817688
70,contextual,4,True,10,8,0.4874306619167328
71,contextual,4,True,10,9,0.503156304359436
72,contextual,4,True,20,0,0.5117851495742798
73,contextual,4,True,20,1,0.5366231203079224
74,contextual,4,True,20,2,0.5010545253753662
75,contextual,4,True,20,3,0.4631551504135132
76,contextual,4,True,20,4,0.5201002955436707
77,contextual,4,True,20,5,0.5165523290634155
78,contextual,4,True,20,6,0.5193712115287781
79,contextual,4,True,20,7,0.5421338677406311
80,contextual,4,True,20,8,0.5244016647338867
81,contextual,4,True,20,9,0.5292829275131226
82,contextual,4,True,30,0,0.5196545124053955
83,contextual,4,True,30,1,0.504069983959198
84,contextual,4,True,30,2,0.5143496990203857
85,contextual,4,True,30,3,0.5348701477050781
86,contextual,4,True,30,4,0.523404061794281
87,contextual,4,True,30,5,0.5026450753211975
88,contextual,4,True,30,6,0.530874490737915
89,contextual,4,True,30,7,0.48316824436187744
90,contextual,4,True,30,8,0.5312249660491943
91,contextual,4,True,30,9,0.5213252305984497
92,contextual,4,True,50,0,0.5078366994857788
93,contextual,4,True,50,1,0.5067398548126221
94,contextual,4,True,50,2,0.5217195153236389
95,contextual,4,True,50,3,0.49525466561317444
96,contextual,4,True,50,4,0.5256516933441162
97,contextual,4,True,50,5,0.5468334555625916
98,contextual,4,True,50,6,0.530005693435669
99,contextual,4,True,50,7,0.5269255042076111
100,contextual,4,True,50,8,0.5175201892852783
101,contextual,4,True,50,9,0.4854901432991028
102,contextual,4,False,NA,NA,0.3346093331666393
103,contextual,5,True,5,0,0.4302159249782562
104,contextual,5,True,5,1,0.4562879800796509
105,contextual,5,True,5,2,0.4550441801548004
106,contextual,5,True,5,3,0.4624886214733124
107,contextual,5,True,5,4,0.46241992712020874
108,contextual,5,True,5,5,0.48450297117233276
109,contextual,5,True,5,6,0.46833536028862
110,contextual,5,True,5,7,0.4969155192375183
111,contextual,5,True,5,8,0.48904943466186523
112,contextual,5,True,5,9,0.4632050693035126
113,contextual,5,True,10,0,0.5144249796867371
114,contextual,5,True,10,1,0.5200825929641724
115,contextual,5,True,10,2,0.5195528864860535
116,contextual,5,True,10,3,0.5079562664031982
117,contextual,5,True,10,4,0.5229262113571167
118,contextual,5,True,10,5,0.5249320864677429
119,contextual,5,True,10,6,0.5266519784927368
120,contextual,5,True,10,7,0.49531227350234985
121,contextual,5,True,10,8,0.5111122131347656
122,contextual,5,True,10,9,0.5100190043449402
123,contextual,5,True,20,0,0.545097827911377
124,contextual,5,True,20,1,0.5291128158569336
125,contextual,5,True,20,2,0.5204508900642395
126,contextual,5,True,20,3,0.5369614958763123
127,contextual,5,True,20,4,0.5238218307495117
128,contextual,5,True,20,5,0.5246911644935608
129,contextual,5,True,20,6,0.5294851064682007
130,contextual,5,True,20,7,0.5322800278663635
131,contextual,5,True,20,8,0.5191396474838257
132,contextual,5,True,20,9,0.5120304822921753
133,contextual,5,True,30,0,0.536628246307373
134,contextual,5,True,30,1,0.5131951570510864
135,contextual,5,True,30,2,0.5320904850959778
136,contextual,5,True,30,3,0.5191962718963623
137,contextual,5,True,30,4,0.5410062670707703
138,contextual,5,True,30,5,0.5604197382926941
139,contextual,5,True,30,6,0.5359426736831665
140,contextual,5,True,30,7,0.5330912470817566
141,contextual,5,True,30,8,0.4957437813282013
142,contextual,5,True,30,9,0.5153180360794067
143,contextual,5,True,50,0,0.5125460624694824
144,contextual,5,True,50,1,0.516814649105072
145,contextual,5,True,50,2,0.5302821397781372
146,contextual,5,True,50,3,0.5264539122581482
147,contextual,5,True,50,4,0.5226032137870789
148,contextual,5,True,50,5,0.5396931767463684
149,contextual,5,True,50,6,0.5102683901786804
150,contextual,5,True,50,7,0.5254850387573242
151,contextual,5,True,50,8,0.5390285849571228
152,contextual,5,True,50,9,0.5213525891304016
153,contextual,5,False,NA,NA,0.3008778611685843
154,contextual,6,True,5,0,0.46779385209083557
155,contextual,6,True,5,1,0.5033061504364014
156,contextual,6,True,5,2,0.4920163154602051
157,contextual,6,True,5,3,0.4897712171077728
158,contextual,6,True,5,4,0.4946114420890808
159,contextual,6,True,5,5,0.4763979911804199
160,contextual,6,True,5,6,0.48162564635276794
161,contextual,6,True,5,7,0.46310243010520935
162,contextual,6,True,5,8,0.5307413935661316
163,contextual,6,True,5,9,0.4417896568775177
164,contextual,6,True,10,0,0.516080379486084
165,contextual,6,True,10,1,0.5021877288818359
166,contextual,6,True,10,2,0.5515815019607544
167,contextual,6,True,10,3,0.5068672299385071
168,contextual,6,True,10,4,0.5311801433563232
