,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
112,physio,5,True,5,9,0.4467903673648834
113,physio,5,True,10,0,0.4533514082431793
114,physio,5,True,10,1,0.4835951030254364
115,physio,5,True,10,2,0.4421510100364685
116,physio,5,True,10,3,0.43342679738998413
117,physio,5,True,10,4,0.45701864361763
118,physio,5,True,10,5,0.4828008711338043
119,physio,5,True,10,6,0.46139317750930786
120,physio,5,True,10,7,0.44882291555404663
121,physio,5,True,10,8,0.4590112566947937
122,physio,5,True,10,9,0.4732440412044525
123,physio,5,True,20,0,0.4690186679363251
124,physio,5,True,20,1,0.49154308438301086
125,physio,5,True,20,2,0.488490492105484
126,physio,5,True,20,3,0.5049808621406555
127,physio,5,True,20,4,0.4828241169452667
128,physio,5,True,20,5,0.4871540069580078
129,physio,5,True,20,6,0.4833056628704071
130,physio,5,True,20,7,0.46470654010772705
131,physio,5,True,20,8,0.48660221695899963
132,physio,5,True,20,9,0.4939773976802826
133,physio,5,True,30,0,0.4624125063419342
134,physio,5,True,30,1,0.5036523938179016
135,physio,5,True,30,2,0.4759562909603119
136,physio,5,True,30,3,0.48488256335258484
137,physio,5,True,30,4,0.48224374651908875
138,physio,5,True,30,5,0.49268820881843567
139,physio,5,True,30,6,0.47764405608177185
140,physio,5,True,30,7,0.4834684729576111
141,physio,5,True,30,8,0.49045395851135254
142,physio,5,True,30,9,0.5005689263343811
143,physio,5,True,50,0,0.5012589693069458
144,physio,5,True,50,1,0.5007484555244446
145,physio,5,True,50,2,0.5242096781730652
146,physio,5,True,50,3,0.5037282705307007
147,physio,5,True,50,4,0.47253933548927307
148,physio,5,True,50,5,0.47688403725624084
149,physio,5,True,50,6,0.5049341917037964
150,physio,5,True,50,7,0.5048553943634033
151,physio,5,True,50,8,0.45009031891822815
152,physio,5,True,50,9,0.48054540157318115
153,physio,5,False,NA,NA,0.3095660899372921
154,physio,6,True,5,0,0.44982394576072693
155,physio,6,True,5,1,0.4495692551136017
